"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,700,5000,16,0,test.png, 0.648266 s
seam-carving-omp-opt,1,700,10000,16,0,valve.png, 0.308090 s
seam-carving-omp-opt,1,700,10000,16,0,720x480.png, 0.382530 s
seam-carving-omp-opt,1,700,10000,16,0,7680x4320.png, 25.407849 s
seam-carving-omp-opt,1,700,10000,16,0,1920x1200.png, 1.472320 s
seam-carving-omp-opt,1,700,10000,16,0,1024x768.png, 0.809027 s
seam-carving-omp-opt,1,700,10000,16,0,3840x2160.png, 8.315650 s
seam-carving-omp-opt,1,700,10000,16,0,test.png, 0.634897 s
seam-carving-omp-opt,1,1000,1,16,0,valve.png, 0.153472 s
seam-carving-omp-opt,1,1000,1,16,0,720x480.png, 0.192742 s
seam-carving-omp-opt,1,1000,1,16,0,7680x4320.png, 13.438760 s
seam-carving-omp-opt,1,1000,1,16,0,1920x1200.png, 1.001394 s
seam-carving-omp-opt,1,1000,1,16,0,1024x768.png, 0.390655 s
seam-carving-omp-opt,1,1000,1,16,0,3840x2160.png, 3.517741 s
seam-carving-omp-opt,1,1000,1,16,0,test.png, 0.340186 s
seam-carving-omp-opt,1,1000,100,16,0,valve.png, 0.237495 s
seam-carving-omp-opt,1,1000,100,16,0,720x480.png, 0.298986 s
seam-carving-omp-opt,1,1000,100,16,0,7680x4320.png, 13.468701 s
seam-carving-omp-opt,1,1000,100,16,0,1920x1200.png, 1.018166 s
seam-carving-omp-opt,1,1000,100,16,0,1024x768.png, 0.477861 s
seam-carving-omp-opt,1,1000,100,16,0,3840x2160.png, 3.564081 s
seam-carving-omp-opt,1,1000,100,16,0,test.png, 0.416301 s
seam-carving-omp-opt,1,1000,500,16,0,valve.png, 0.307549 s
seam-carving-omp-opt,1,1000,500,16,0,720x480.png, 0.378992 s
seam-carving-omp-opt,1,1000,500,16,0,7680x4320.png, 14.714125 s
seam-carving-omp-opt,1,1000,500,16,0,1920x1200.png, 1.351727 s
seam-carving-omp-opt,1,1000,500,16,0,1024x768.png, 0.793413 s
seam-carving-omp-opt,1,1000,500,16,0,3840x2160.png, 4.661767 s
seam-carving-omp-opt,1,1000,500,16,0,test.png, 0.647000 s
seam-carving-omp-opt,1,1000,700,16,0,valve.png, 0.306702 s
seam-carving-omp-opt,1,1000,700,16,0,720x480.png, 0.385169 s
seam-carving-omp-opt,1,1000,700,16,0,7680x4320.png, 15.058041 s
seam-carving-omp-opt,1,1000,700,16,0,1920x1200.png, 1.514505 s
seam-carving-omp-opt,1,1000,700,16,0,1024x768.png, 0.804279 s
seam-carving-omp-opt,1,1000,700,16,0,3840x2160.png, 5.056056 s
seam-carving-omp-opt,1,1000,700,16,0,test.png, 0.643654 s
seam-carving-omp-opt,1,1000,1000,16,0,valve.png, 0.304216 s
seam-carving-omp-opt,1,1000,1000,16,0,720x480.png, 0.377368 s
seam-carving-omp-opt,1,1000,1000,16,0,7680x4320.png, 16.186245 s
seam-carving-omp-opt,1,1000,1000,16,0,1920x1200.png, 1.503997 s
seam-carving-omp-opt,1,1000,1000,16,0,1024x768.png, 0.801672 s
seam-carving-omp-opt,1,1000,1000,16,0,3840x2160.png, 6.013949 s
seam-carving-omp-opt,1,1000,1000,16,0,test.png, 0.651028 s
seam-carving-omp-opt,1,1000,5000,16,0,valve.png, 0.299090 s
seam-carving-omp-opt,1,1000,5000,16,0,720x480.png, 0.391018 s
seam-carving-omp-opt,1,1000,5000,16,0,7680x4320.png, 25.064056 s
seam-carving-omp-opt,1,1000,5000,16,0,1920x1200.png, 1.487935 s
seam-carving-omp-opt,1,1000,5000,16,0,1024x768.png, 0.792166 s
seam-carving-omp-opt,1,1000,5000,16,0,3840x2160.png, 8.790377 s
seam-carving-omp-opt,1,1000,5000,16,0,test.png, 0.640788 s
seam-carving-omp-opt,1,1000,10000,16,0,valve.png, 0.314152 s
seam-carving-omp-opt,1,1000,10000,16,0,720x480.png, 0.382629 s
seam-carving-omp-opt,1,1000,10000,16,0,7680x4320.png, 25.214805 s
seam-carving-omp-opt,1,1000,10000,16,0,1920x1200.png, 1.501958 s
seam-carving-omp-opt,1,1000,10000,16,0,1024x768.png, 0.799209 s
